selector,N,CRG,CRG_CI_low,CRG_CI_high,CRG_std
CT-CHAT greedy,,0.3681,0.3646,0.3719,
Random-of-N,1,0.3716,,,0.0
Random-of-N,2,0.3714,,,0.001
Random-of-N,4,0.3705,,,0.0012
Random-of-N,8,0.3712,,,0.0013
Random-of-N,16,0.3721,,,0.002
Random-of-N,32,0.3717,,,0.0017
PRM-CTCLIP-0.5B,1,0.3716,0.3676,0.3754,
PRM-CTCLIP-0.5B,2,0.3777,0.3738,0.3821,
PRM-CTCLIP-0.5B,4,0.3816,0.377,0.386,
PRM-CTCLIP-0.5B,8,0.3882,0.3835,0.393,
PRM-CTCLIP-0.5B,16,0.3896,0.3852,0.3944,
PRM-CTCLIP-0.5B,32,0.3837,0.3796,0.3885,
PRM-CTCLIP-3B,1,0.3716,0.3678,0.3756,
PRM-CTCLIP-3B,2,0.3765,0.3723,0.3807,
PRM-CTCLIP-3B,4,0.3812,0.3767,0.3855,
PRM-CTCLIP-3B,8,0.3878,0.3835,0.3923,
PRM-CTCLIP-3B,16,0.3893,0.3846,0.3939,
PRM-CTCLIP-3B,32,0.389,0.3844,0.3938,
PRM-LLM-0.5B,1,0.3716,0.368,0.3756,
PRM-LLM-0.5B,2,0.3691,0.3657,0.3727,
PRM-LLM-0.5B,4,0.3653,0.362,0.3689,
PRM-LLM-0.5B,8,0.358,0.3549,0.3611,
PRM-LLM-0.5B,16,0.3512,0.3486,0.3539,
PRM-LLM-0.5B,32,0.3477,0.3455,0.3501,
PRM-LLM-3B,1,0.3716,0.3676,0.3754,
PRM-LLM-3B,2,0.3681,0.3648,0.3718,
PRM-LLM-3B,4,0.3636,0.3606,0.367,
PRM-LLM-3B,8,0.3566,0.3539,0.3596,
PRM-LLM-3B,16,0.3501,0.3477,0.3527,
PRM-LLM-3B,32,0.3469,0.3446,0.3493,
Oracle,1,0.3716,0.3681,0.3752,
Oracle,2,0.4065,0.4026,0.4109,
Oracle,4,0.4469,0.4424,0.4516,
Oracle,8,0.4911,0.4857,0.4967,
Oracle,16,0.5382,0.5319,0.5449,
Oracle,32,0.5851,0.5782,0.5924,
